pcm,套件,引擎
SceneId-8/接听/接听郊区开窗/M004_接听_001.wav,117,引擎未测试
SceneId-8/挂断/挂断郊区开窗/F003_挂断_005.wav,60,65
SceneId-8/挂断/挂断高架中档/F005_挂断_012.wav,83,83
SceneId-8/挂断/挂断市区半开窗/F002_挂断_005.wav,122,135
SceneId-8/挂断/挂断市区半开窗/F004_挂断_008.wav,96,88
SceneId-8/挂断/挂断郊区开窗/M004_挂断_005.wav,59,62
SceneId-8/挂断/挂断郊区开窗/F003_挂断_002.wav,None,69
SceneId-8/接听/接听市区半开窗/M002_接听_010.wav,None,76
SceneId-8/接听/接听高架中档/F001_接听_006.wav,None,176
SceneId-8/接听/接听郊区开窗/F002_接听_004.wav,None,211
SceneId-8/挂断/挂断市区半开窗/M001_挂断_008.wav,119,118
SceneId-8/挂断/挂断高架中档/F003_挂断_004.wav,60,55
SceneId-8/接听/接听郊区开窗/F002_接听_011.wav,160,None
SceneId-8/挂断/挂断市区半开窗/F005_挂断_013.wav,57,67
SceneId-8/接听/接听郊区开窗/M001_接听_011.wav,219,236
SceneId-8/挂断/挂断市区半开窗/F001_挂断_006.wav,138,106
SceneId-8/挂断/挂断市区半开窗/F001_挂断_003.wav,96,55
SceneId-8/挂断/挂断市区半开窗/M001_挂断_002.wav,102,87
SceneId-8/接听/接听郊区开窗/M002_接听_011.wav,70,52
SceneId-8/挂断/挂断高架中档/M004_挂断_012.wav,None,96
SceneId-8/挂断/挂断市区半开窗/M005_挂断_013.wav,119,118
SceneId-8/挂断/挂断郊区开窗/F001_挂断_008.wav,93,115
SceneId-8/挂断/挂断郊区开窗/F003_挂断_012.wav,110,104
SceneId-8/挂断/挂断郊区开窗/F005_挂断_013.wav,130,132
SceneId-8/挂断/挂断郊区开窗/F004_挂断_009.wav,102,61
SceneId-8/挂断/挂断郊区开窗/M002_挂断_012.wav,55,63
SceneId-8/挂断/挂断郊区开窗/M001_挂断_007.wav,121,140
SceneId-8/挂断/挂断郊区开窗/M001_挂断_010.wav,106,130
SceneId-8/挂断/挂断高架中档/F001_挂断_012.wav,51,60
SceneId-8/挂断/挂断市区半开窗/M002_挂断_014.wav,92,105
SceneId-8/挂断/挂断郊区开窗/M005_挂断_012.wav,None,100
SceneId-8/X3/M112_151.wav,145,144
SceneId-8/挂断/挂断市区半开窗/F001_挂断_002.wav,55,98
SceneId-8/挂断/挂断高架中档/M005_挂断_003.wav,None,51
SceneId-8/挂断/挂断市区半开窗/M003_挂断_004.wav,179,196
SceneId-8/挂断/挂断高架中档/M005_挂断_004.wav,None,引擎未测试
SceneId-8/接听/接听郊区开窗/M003_接听_004.wav,None,140
SceneId-8/接听/接听郊区开窗/M002_接听_001.wav,136,127
SceneId-8/接听/接听高架中档/M002_接听_009.wav,144,147
SceneId-8/挂断/挂断高架中档/F001_挂断_001.wav,91,126
SceneId-8/接听/接听市区半开窗/F005_接听_002.wav,108,None
SceneId-8/接听/接听高架中档/M005_接听_015.wav,152,None
SceneId-8/挂断/挂断高架中档/F004_挂断_009.wav,87,89
SceneId-8/挂断/挂断郊区开窗/F001_挂断_014.wav,98,81
SceneId-8/挂断/挂断市区半开窗/F005_挂断_011.wav,139,141
SceneId-8/接听/接听市区半开窗/M004_接听_011.wav,157,None
SceneId-8/挂断/挂断高架中档/F005_挂断_002.wav,80,55
SceneId-8/挂断/挂断高架中档/M002_挂断_013.wav,85,93
SceneId-8/接听/接听郊区开窗/F004_接听_013.wav,None,145
SceneId-8/接听/接听高架中档/M004_接听_011.wav,None,134
SceneId-8/挂断/挂断高架中档/M002_挂断_006.wav,93,76
SceneId-8/接听/接听高架中档/M003_接听_010.wav,157,161
SceneId-8/挂断/挂断郊区开窗/F003_挂断_001.wav,122,引擎未测试
SceneId-8/挂断/挂断高架中档/F004_挂断_015.wav,71,77
SceneId-8/挂断/挂断高架中档/M001_挂断_011.wav,190,177
SceneId-8/挂断/挂断郊区开窗/F003_挂断_007.wav,83,118
SceneId-8/接听/接听郊区开窗/M005_接听_010.wav,159,166
SceneId-8/接听/接听高架中档/M002_接听_011.wav,159,154
SceneId-8/挂断/挂断市区半开窗/F004_挂断_001.wav,114,99
SceneId-8/挂断/挂断市区半开窗/F004_挂断_006.wav,161,156
SceneId-8/挂断/挂断高架中档/M001_挂断_002.wav,151,135
SceneId-8/挂断/挂断高架中档/F002_挂断_011.wav,134,128
SceneId-8/挂断/挂断高架中档/F005_挂断_015.wav,104,97
SceneId-8/接听/接听高架中档/M004_接听_014.wav,113,None
SceneId-8/挂断/挂断郊区开窗/F004_挂断_012.wav,107,56
SceneId-8/接听/接听郊区开窗/M005_接听_007.wav,161,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M002_挂断_013.wav,60,None
SceneId-8/挂断/挂断郊区开窗/M003_挂断_013.wav,94,120
SceneId-8/挂断/挂断高架中档/F005_挂断_007.wav,156,164
SceneId-8/挂断/挂断市区半开窗/F005_挂断_014.wav,76,116
SceneId-8/挂断/挂断市区半开窗/F002_挂断_014.wav,88,85
SceneId-8/挂断/挂断高架中档/F004_挂断_014.wav,125,129
SceneId-8/挂断/挂断市区半开窗/F001_挂断_010.wav,54,97
SceneId-8/挂断/挂断郊区开窗/M004_挂断_003.wav,None,52
SceneId-8/接听/接听郊区开窗/M003_接听_002.wav,159,None
SceneId-8/挂断/挂断郊区开窗/F002_挂断_002.wav,133,127
SceneId-8/接听/接听郊区开窗/F004_接听_002.wav,184,174
SceneId-8/接听/接听郊区开窗/M003_接听_006.wav,None,166
SceneId-8/挂断/挂断高架中档/M005_挂断_007.wav,195,194
SceneId-8/挂断/挂断郊区开窗/M001_挂断_014.wav,None,139
SceneId-8/挂断/挂断市区半开窗/M001_挂断_006.wav,88,72
SceneId-8/接听/接听高架中档/M004_接听_003.wav,203,193
SceneId-8/挂断/挂断高架中档/F003_挂断_013.wav,119,107
SceneId-8/接听/接听高架中档/F004_接听_008.wav,152,None
SceneId-8/挂断/挂断郊区开窗/F001_挂断_009.wav,118,94
SceneId-8/接听/接听郊区开窗/F001_接听_011.wav,91,95
SceneId-8/挂断/挂断市区半开窗/F005_挂断_007.wav,157,150
SceneId-8/接听/接听市区半开窗/F005_接听_009.wav,170,None
SceneId-8/挂断/挂断高架中档/F002_挂断_013.wav,111,107
SceneId-8/挂断/挂断郊区开窗/F004_挂断_010.wav,69,79
SceneId-8/挂断/挂断郊区开窗/F004_挂断_015.wav,None,引擎未测试
SceneId-8/接听/接听市区半开窗/F004_接听_002.wav,151,152
SceneId-8/X3/M113_149.wav,153,154
SceneId-8/挂断/挂断市区半开窗/F004_挂断_004.wav,128,138
SceneId-8/接听/接听郊区开窗/F005_接听_002.wav,132,None
SceneId-8/挂断/挂断市区半开窗/M001_挂断_010.wav,161,157
SceneId-8/接听/接听郊区开窗/M004_接听_004.wav,194,None
SceneId-8/挂断/挂断高架中档/F002_挂断_007.wav,158,147
SceneId-8/接听/接听郊区开窗/M002_接听_012.wav,144,153
SceneId-8/挂断/挂断高架中档/F001_挂断_011.wav,102,112
SceneId-8/接听/接听郊区开窗/M002_接听_014.wav,152,引擎未测试
SceneId-8/挂断/挂断市区半开窗/F001_挂断_014.wav,77,73
SceneId-8/挂断/挂断高架中档/M001_挂断_007.wav,184,163
SceneId-8/挂断/挂断市区半开窗/F003_挂断_013.wav,56,80
SceneId-8/挂断/挂断郊区开窗/M001_挂断_004.wav,67,81
SceneId-8/挂断/挂断高架中档/M004_挂断_007.wav,None,116
SceneId-8/挂断/挂断高架中档/M005_挂断_011.wav,None,93
SceneId-8/挂断/挂断高架中档/M004_挂断_013.wav,83,引擎未测试
SceneId-8/挂断/挂断高架中档/M004_挂断_003.wav,136,86
SceneId-8/挂断/挂断郊区开窗/F004_挂断_011.wav,75,90
SceneId-8/挂断/挂断高架中档/F003_挂断_011.wav,91,93
SceneId-8/接听/接听郊区开窗/M004_接听_010.wav,178,205
SceneId-8/接听/接听郊区开窗/M003_接听_011.wav,158,127
SceneId-8/挂断/挂断高架中档/F002_挂断_002.wav,128,122
SceneId-8/挂断/挂断市区半开窗/M005_挂断_014.wav,97,89
SceneId-8/挂断/挂断高架中档/M004_挂断_006.wav,116,引擎未测试
SceneId-8/接听/接听高架中档/M004_接听_010.wav,161,137
SceneId-8/挂断/挂断高架中档/F002_挂断_001.wav,118,125
SceneId-8/接听/接听郊区开窗/F001_接听_010.wav,190,194
SceneId-8/挂断/挂断郊区开窗/M003_挂断_009.wav,121,126
SceneId-8/挂断/挂断郊区开窗/F004_挂断_002.wav,127,121
SceneId-8/挂断/挂断市区半开窗/M004_挂断_004.wav,89,70
SceneId-8/接听/接听高架中档/M002_接听_014.wav,98,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M003_挂断_012.wav,104,引擎未测试
SceneId-8/接听/接听高架中档/F001_接听_002.wav,None,176
SceneId-8/挂断/挂断郊区开窗/M002_挂断_004.wav,None,92
SceneId-8/挂断/挂断高架中档/F002_挂断_014.wav,118,143
SceneId-8/挂断/挂断市区半开窗/M004_挂断_011.wav,72,62
SceneId-8/接听/接听市区半开窗/M004_接听_008.wav,167,147
