,strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms),,,,<1.2s,1.2s-2s,2s-3s,>3s
mapU,/data/AIUI/sr/600/0392-01.pcm,1.49932E+12,2060,1.49932E+12,2297,,,,FALSE,FALSE,TRUE,FALSE
mapU,/data/AIUI/sr/600/0392-02.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
mapU,/data/AIUI/sr/600/0392-03.pcm,1.49932E+12,2210,1.49932E+12,1809,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0001-01.pcm,1.49932E+12,1900,1.49932E+12,1461,,1739,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0001-02.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0001-03.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0001-04.pcm,1.49932E+12,1730,1.49932E+12,1589,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0002-01.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0002-02.pcm,1.49932E+12,1850,1.49932E+12,1624,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0002-03.pcm,1.49932E+12,1910,1.49932E+12,1681,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0002-04.pcm,1.49932E+12,1680,1.49932E+12,1651,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0002-05.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0003-01.pcm,1.49932E+12,1980,1.49932E+12,1556,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0003-02.pcm,1.49932E+12,1980,1.49932E+12,1514,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0003-03.pcm,1.49932E+12,1350,1.49932E+12,1901,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0003-04.pcm,1.49932E+12,2760,1.49932E+12,1524,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0004-01.pcm,1.49932E+12,2700,1.49932E+12,1534,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0004-02.pcm,1.49932E+12,2250,1.49932E+12,1897,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0004-03.pcm,1.49932E+12,2690,1.49932E+12,2062,,,,FALSE,FALSE,TRUE,FALSE
musicX,/data/AIUI/sr/600/0005-01.pcm,1.49932E+12,1860,1.49932E+12,2248,,,,FALSE,FALSE,TRUE,FALSE
musicX,/data/AIUI/sr/600/0005-02.pcm,1.49932E+12,1590,1.49932E+12,2005,,,,FALSE,FALSE,TRUE,FALSE
musicX,/data/AIUI/sr/600/0005-03.pcm,1.49932E+12,2920,1.49932E+12,1604,,,,FALSE,TRUE,FALSE,FALSE
musicX,/data/AIUI/sr/600/0005-04.pcm,1.49932E+12,2010,1.49932E+12,1972,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0155-02.pcm,1.49932E+12,2590,1.49932E+12,1749,,1802,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0155-03.pcm,1.49932E+12,3920,1.49932E+12,1996,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0155-04.pcm,1.49932E+12,1960,1.49932E+12,1500,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0325-01.pcm,1.49932E+12,1860,1.49932E+12,1735,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0325-02.pcm,1.49932E+12,2310,1.49932E+12,1726,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0326-01.pcm,1.49932E+12,1320,1.49932E+12,1751,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0327-01.pcm,1.49932E+12,1370,1.49932E+12,1721,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0327-02.pcm,1.49932E+12,2250,1.49932E+12,1732,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0327-03.pcm,1.49932E+12,1820,1.49932E+12,1789,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0327-04.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
news,/data/AIUI/sr/600/0328-01.pcm,1.49932E+12,3220,1.49932E+12,2205,,,,FALSE,FALSE,TRUE,FALSE
news,/data/AIUI/sr/600/0328-02.pcm,1.49932E+12,1770,1.49932E+12,2059,,,,FALSE,FALSE,TRUE,FALSE
news,/data/AIUI/sr/600/0328-03.pcm,1.49932E+12,1240,1.49932E+12,1610,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0328-04.pcm,1.49932E+12,2140,1.49932E+12,1683,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0329-01.pcm,1.49932E+12,1280,1.49932E+12,1587,,,,FALSE,TRUE,FALSE,FALSE
news,/data/AIUI/sr/600/0329-02.pcm,1.49932E+12,2080,1.49932E+12,2188,,,,FALSE,FALSE,TRUE,FALSE
news,/data/AIUI/sr/600/0353-02.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
radio,/data/AIUI/sr/600/0131-02.pcm,1.49932E+12,3350,1.49932E+12,1949,,1649,,FALSE,TRUE,FALSE,FALSE
radio,/data/AIUI/sr/600/0131-03.pcm,1.49932E+12,1760,1.49932E+12,1409,,,,FALSE,TRUE,FALSE,FALSE
