sr_time:547, nlu_time:66, sum_time:619
sr_time:942, nlu_time:175, sum_time:1125
sr_time:531, nlu_time:133, sum_time:671
sr_time:642, nlu_time:76, sum_time:724
sr_time:467, nlu_time:92, sum_time:566
sr_time:332, nlu_time:89, sum_time:427
sr_time:523, nlu_time:76, sum_time:604
sr_time:371, nlu_time:67, sum_time:444
sr_time:363, nlu_time:63, sum_time:433
sr_time:505, nlu_time:66, sum_time:576
sr_time:470, nlu_time:102, sum_time:580
sr_time:614, nlu_time:74, sum_time:695
sr_time:905, nlu_time:110, sum_time:1021
sr_time:189, nlu_time:151, sum_time:347
sr_time:243, nlu_time:157, sum_time:405
sr_time:184, nlu_time:91, sum_time:281
sr_time:191, nlu_time:116, sum_time:314
sr_time:183, nlu_time:162, sum_time:351
sr_time:259, nlu_time:174, sum_time:440
sr_time:197, nlu_time:163, sum_time:365
sr_time:265, nlu_time:116, sum_time:387
sr_time:188, nlu_time:176, sum_time:370
sr_time:258, nlu_time:79, sum_time:343
sr_time:410, nlu_time:86, sum_time:503
sr_time:321, nlu_time:132, sum_time:459
sr_time:486, nlu_time:95, sum_time:587
sr_time:327, nlu_time:141, sum_time:474
sr_time:201, nlu_time:218, sum_time:426
sr_time:225, nlu_time:178, sum_time:409
sr_time:201, nlu_time:127, sum_time:335
sr_time:263, nlu_time:137, sum_time:406
sr_time:410, nlu_time:86, sum_time:502
sr_time:296, nlu_time:129, sum_time:432
sr_time:248, nlu_time:109, sum_time:363
sr_time:563, nlu_time:81, sum_time:650
sr_time:841, nlu_time:118, sum_time:966
sr_time:724, nlu_time:99, sum_time:830
sr_time:637, nlu_time:80, sum_time:724
sr_time:555, nlu_time:80, sum_time:641
sr_time:534, nlu_time:76, sum_time:616
sr_time:805, nlu_time:93, sum_time:907
sr_time:455, nlu_time:100, sum_time:562
sr_time:691, nlu_time:79, sum_time:776
sr_time:988, nlu_time:83, sum_time:1077
sr_time:686, nlu_time:54, sum_time:747
sr_time:381, nlu_time:62, sum_time:448
sr_time:502, nlu_time:51, sum_time:559
sr_time:576, nlu_time:69, sum_time:651
sr_time:928, nlu_time:68, sum_time:1003
sr_time:310, nlu_time:196, sum_time:516
sr_time:244, nlu_time:171, sum_time:421
sr_time:241, nlu_time:118, sum_time:365
sr_time:371, nlu_time:162, sum_time:539
sr_time:336, nlu_time:144, sum_time:486
sr_time:240, nlu_time:118, sum_time:365
sr_time:252, nlu_time:156, sum_time:414
sr_time:325, nlu_time:128, sum_time:460
sr_time:321, nlu_time:219, sum_time:545
sr_time:255, nlu_time:105, sum_time:366
sr_time:768, nlu_time:92, sum_time:866
sr_time:633, nlu_time:171, sum_time:810
sr_time:234, nlu_time:176, sum_time:416
sr_time:378, nlu_time:135, sum_time:519
sr_time:229, nlu_time:170, sum_time:405
sr_time:264, nlu_time:73, sum_time:343
sr_time:513, nlu_time:158, sum_time:677
sr_time:188, nlu_time:121, sum_time:315
sr_time:177, nlu_time:81, sum_time:264
sr_time:435, nlu_time:105, sum_time:547
sr_time:171, nlu_time:122, sum_time:301
sr_time:285, nlu_time:102, sum_time:394
sr_time:397, nlu_time:114, sum_time:516
sr_time:998, nlu_time:39, sum_time:1042
sr_time:338, nlu_time:94, sum_time:438
sr_time:938, nlu_time:92, sum_time:1036
sr_time:211, nlu_time:98, sum_time:315
sr_time:445, nlu_time:201, sum_time:652
sr_time:206, nlu_time:112, sum_time:325
sr_time:214, nlu_time:89, sum_time:309
sr_time:985, nlu_time:59, sum_time:1051
sr_time:549, nlu_time:242, sum_time:796
sr_time:367, nlu_time:114, sum_time:487
sr_time:571, nlu_time:106, sum_time:683
sr_time:397, nlu_time:173, sum_time:577
sr_time:405, nlu_time:92, sum_time:502
sr_time:339, nlu_time:122, sum_time:466
sr_time:1026, nlu_time:193, sum_time:1226
sr_time:837, nlu_time:220, sum_time:1064
sr_time:826, nlu_time:138, sum_time:970
sr_time:1000, nlu_time:186, sum_time:1194
sr_time:408, nlu_time:90, sum_time:504
sr_time:608, nlu_time:118, sum_time:732
sr_time:702, nlu_time:146, sum_time:856
sr_time:702, nlu_time:165, sum_time:873
sr_time:322, nlu_time:140, sum_time:472
sr_time:247, nlu_time:214, sum_time:467
sr_time:622, nlu_time:139, sum_time:768
sr_time:537, nlu_time:152, sum_time:695
sr_time:262, nlu_time:174, sum_time:443
sr_time:881, nlu_time:100, sum_time:987
sr_time:687, nlu_time:79, sum_time:772
sr_time:708, nlu_time:107, sum_time:821
sr_time:898, nlu_time:110, sum_time:1020
sr_time:2033, nlu_time:176, sum_time:2223
sr_time:956, nlu_time:161, sum_time:1124
sr_time:1407, nlu_time:169, sum_time:1582
sr_time:882, nlu_time:94, sum_time:982
sr_time:312, nlu_time:238, sum_time:557
sr_time:315, nlu_time:154, sum_time:475
sr_time:1093, nlu_time:182, sum_time:1281
sr_time:715, nlu_time:107, sum_time:828
sr_time:400, nlu_time:213, sum_time:620
sr_time:633, nlu_time:130, sum_time:769
sr_time:543, nlu_time:125, sum_time:674
sr_time:1013, nlu_time:195, sum_time:1214
sr_time:322, nlu_time:351, sum_time:680
sr_time:608, nlu_time:207, sum_time:821
sr_time:212, nlu_time:209, sum_time:428
sr_time:579, nlu_time:142, sum_time:728
sr_time:284, nlu_time:154, sum_time:445
sr_time:297, nlu_time:94, sum_time:397
sr_time:544, nlu_time:193, sum_time:744
sr_time:282, nlu_time:310, sum_time:600
sr_time:335, nlu_time:73, sum_time:415
sr_time:349, nlu_time:233, sum_time:589
sr_time:1051, nlu_time:240, sum_time:1298
sr_time:528, nlu_time:146, sum_time:680
sr_time:723, nlu_time:204, sum_time:934
sr_time:306, nlu_time:167, sum_time:481
sr_time:161, nlu_time:195, sum_time:362
sr_time:182, nlu_time:148, sum_time:336
sr_time:309, nlu_time:102, sum_time:448
sr_time:220, nlu_time:209, sum_time:435
sr_time:405, nlu_time:181, sum_time:592
sr_time:254, nlu_time:149, sum_time:409
sr_time:217, nlu_time:147, sum_time:370
sr_time:224, nlu_time:137, sum_time:369
sr_time:451, nlu_time:97, sum_time:554
