native_heap_alloc,native_pss,dalvik_heap_alloc,dalvik_pss
7001,32,4258,7726
7002,32,4395,7726
7003,32,4552,7726
6998,32,3649,7730
6999,32,3784,7730
7000,32,3912,7730
7001,32,4048,7730
7001,32,4180,7730
7002,32,4339,7730
7003,32,4470,7730
6999,32,3568,7730
7000,32,3699,7730
7001,32,3831,7730
7001,32,3966,7730
7002,32,4100,7730
7003,32,4256,7730
7004,32,4390,7730
7005,32,4522,7730
7001,32,3616,7730
7001,32,3752,7730
7002,32,3888,7730
7003,32,4045,7730
7004,32,4175,7730
7005,32,4311,7730
7006,32,4441,7730
7001,32,3533,7730
7002,32,3666,7730
7003,32,3825,7730
7004,32,3954,7730
7005,32,4090,7730
7005,32,4221,7730
7006,32,4355,7730
7007,32,4489,7730
7003,32,3594,7730
7004,32,3751,7730
7005,32,3884,7730
7005,32,4015,7730
7006,32,4146,7730
7007,32,4282,7730
7008,32,4414,7730
7004,32,3550,7730
7005,32,3685,7730
7006,32,3816,7730
7006,32,3951,7730
7007,32,4086,7730
7008,32,4218,7730
7009,32,4377,7730
7010,32,4512,7730
7006,32,3609,7730
7006,32,3738,7730
7007,32,3872,7730
7008,32,4007,7730
7009,32,4164,7730
7010,32,4296,7730
7011,32,4428,7730
7006,32,3517,7730
7007,32,3651,7730
7008,32,3786,7730
7009,32,3944,7730
7010,32,4077,7730
7010,32,4209,7730
7011,32,4340,7730
7012,32,4475,7730
7008,32,3583,7730
7009,32,3721,7730
7010,32,3875,7730
7010,32,4012,7730
7011,32,4140,7730
7012,32,4274,7730
7013,32,4408,7730
7014,32,4540,7730
7010,32,3663,7730
7011,32,3800,7730
7011,32,3928,7730
7012,32,4061,7730
7013,32,4195,7730
7014,32,4328,7730
7015,32,4486,7730
7010,32,3584,7730
7011,32,3717,7730
7012,32,3844,7730
7013,32,3979,7730
7013,32,4112,7730
7014,32,4247,7730
7015,32,4402,7730
7016,32,4536,7730
7012,32,3632,7730
7013,32,3763,7730
7013,32,3896,7730
7014,32,4031,7730
7015,32,4187,7730
7016,32,4318,7730
7017,32,4453,7730
7013,32,3547,7730
7014,32,3683,7730
7014,32,3819,7730
7015,32,3977,7730
7016,32,4107,7730
7017,32,4243,7730
7018,32,4370,7730
7018,32,4507,7730
7014,32,3604,7730
7015,32,3739,7730
7016,32,3893,7730
7017,32,4029,7730
